Wavelength,B,G,R
380,0.340680792,0.331861713,0.327457414
385,0.346561187,0.329688188,0.323750578
390,0.358700493,0.327860022,0.313439461
395,0.391947027,0.31917358,0.288879383
400,0.466471731,0.294322584,0.239205681
405,0.551600896,0.258697065,0.189702037
410,0.689359611,0.188894319,0.121746068
415,0.800033347,0.125388382,0.074578271
420,0.876879781,0.07868706,0.044433159
425,0.917928097,0.053143271,0.028928632
430,0.935395201,0.042288146,0.022316653
435,0.949770347,0.033318346,0.016911307
440,0.956062945,0.029755948,0.014181107
445,0.956615607,0.030331251,0.013053143
450,0.957025265,0.030988572,0.011986164
455,0.957024931,0.031686355,0.011288715
460,0.954423973,0.034669962,0.010906066
465,0.955047329,0.034551957,0.010400713
470,0.948677833,0.040684806,0.01063736
475,0.9346323,0.054460037,0.010907663
480,0.908062,0.080905287,0.011032712
485,0.842341039,0.146348303,0.011310657
490,0.609165715,0.379679643,0.011154642
495,0.223106961,0.766744269,0.01014877
500,0.11486667,0.876214748,0.008918582
505,0.073822768,0.918491656,0.007685576
510,0.052638729,0.940655563,0.006705708
515,0.040272309,0.953731885,0.005995806
520,0.032819463,0.96164328,0.005537257
525,0.027606196,0.96720002,0.005193784
530,0.023984891,0.970989746,0.005025362
535,0.022011333,0.972852304,0.005136363
540,0.021450205,0.973116594,0.0054332
545,0.020828945,0.973351069,0.005819986
550,0.020248311,0.973351116,0.006400573
555,0.020289391,0.97226108,0.007449529
560,0.018065342,0.973351022,0.008583636
565,0.016455742,0.973148495,0.010395762
570,0.01537326,0.971061306,0.013565434
575,0.014244178,0.966371306,0.019384516
580,0.012973962,0.954941968,0.032084071
585,0.012064974,0.91357899,0.074356038
590,0.011257478,0.364348804,0.624393724
595,0.010182725,0.071507243,0.918310033
600,0.009516535,0.041230434,0.94925303
605,0.009388293,0.032423874,0.958187833
610,0.009887619,0.03192463,0.958187751
615,0.010536342,0.031276033,0.958187625
620,0.011690569,0.03263037,0.955679061
625,0.012462973,0.029530872,0.958006155
630,0.014336665,0.031561761,0.954101573
635,0.016718175,0.035674218,0.947607606
640,0.019915666,0.041403005,0.938681328
645,0.024929056,0.05060426,0.924466683
650,0.031959674,0.0634343,0.904606025
655,0.040669554,0.078918245,0.880412199
660,0.052669382,0.099542743,0.847787873
665,0.068625111,0.12559576,0.805779127
670,0.089877232,0.15759091,0.752531854
675,0.118162359,0.195398239,0.686439397
680,0.149830947,0.231474475,0.618694571
685,0.190883409,0.268852136,0.540264444
690,0.231006403,0.296029164,0.472964416
695,0.257543385,0.309754994,0.432701597
700,0.276826039,0.317815883,0.405358046
705,0.291517773,0.322990347,0.385491835
710,0.302662506,0.326353848,0.370983585
715,0.313247301,0.329143902,0.357608702
720,0.320478325,0.330808727,0.3487128
725,0.323636995,0.33148269,0.344880119
730,0.326097309,0.33198455,0.341917877
735,0.328127369,0.332341173,0.339531093
740,0.329917976,0.332912009,0.337169504
745,0.330907901,0.33291928,0.336172019
750,0.331803633,0.333027673,0.335167443
755,0.332396627,0.333179705,0.334421625
760,0.332740781,0.333247031,0.33400876
765,0.332820857,0.333259349,0.333915793
770,0.332901731,0.33327505,0.333818455
775,0.333025967,0.333294328,0.333672775
780,0.333111083,0.333309425,0.333569513
