Wavelength,Earliest Camera Tubes,Image Orthicon,Standard Emitron,Old CPS Emitron & PES Photicon,Tri-Alkali CPS Emitron
350,0,0,0,0,0.139
355,0,0,0,0,0.154
360,0,0,0,0,0.168
365,0,0,0,0,0.185
370,0,0,0,0,0.199
375,0,0,0,0,0.213
380,0,0,0,0,0.23
385,0,0,0,0,0.245
390,0,0,0,0,0.263
395,0.023,0,0,0,0.281
400,0.026,0.144,0.037,0.238,0.299
405,0.03,0.173,0.061,0.267,0.321
410,0.034,0.207,0.084,0.306,0.344
415,0.037,0.243,0.106,0.364,0.368
420,0.041,0.279,0.129,0.432,0.391
425,0.045,0.315,0.149,0.497,0.419
430,0.049,0.348,0.168,0.565,0.445
435,0.051,0.381,0.189,0.631,0.474
440,0.055,0.416,0.209,0.694,0.504
445,0.06,0.453,0.232,0.739,0.534
450,0.064,0.489,0.256,0.779,0.565
455,0.068,0.524,0.283,0.812,0.602
460,0.074,0.559,0.313,0.846,0.628
465,0.079,0.595,0.344,0.872,0.658
470,0.084,0.633,0.385,0.894,0.687
475,0.09,0.666,0.421,0.912,0.711
480,0.096,0.7,0.466,0.931,0.733
485,0.102,0.737,0.513,0.946,0.758
490,0.109,0.772,0.559,0.957,0.775
495,0.115,0.806,0.612,0.969,0.795
500,0.123,0.832,0.668,0.979,0.813
505,0.13,0.859,0.722,0.988,0.833
510,0.138,0.883,0.782,0.996,0.851
515,0.146,0.907,0.839,1,0.868
520,0.155,0.927,0.884,1,0.885
525,0.166,0.946,0.929,1,0.9
530,0.176,0.963,0.963,0.996,0.914
535,0.186,0.979,0.981,0.989,0.93
540,0.198,0.991,0.993,0.981,0.942
545,0.211,1,1,0.97,0.954
550,0.224,1.005,1.003,0.956,0.965
555,0.238,1.005,0.999,0.939,0.978
560,0.252,1.002,0.988,0.917,0.986
565,0.267,0.993,0.968,0.895,0.994
570,0.282,0.984,0.945,0.863,1.002
575,0.299,0.974,0.92,0.829,1.003
580,0.313,0.963,0.893,0.782,1.002
585,0.334,0.949,0.864,0.725,0.998
590,0.35,0.933,0.838,0.668,0.993
595,0.368,0.918,0.802,0.599,0.987
600,0.388,0.898,0.769,0.548,0.98
605,0.41,0.879,0.734,0.499,0.971
610,0.434,0.862,0.694,0.457,0.961
615,0.46,0.838,0.659,0.415,0.949
620,0.486,0.812,0.628,0.373,0.936
625,0.513,0.787,0.595,0.328,0.923
630,0.543,0.76,0.564,0.279,0.907
635,0.573,0.73,0.536,0.231,0.89
640,0.604,0.7,0.506,0.184,0.874
645,0.64,0.669,0.477,0.138,0.855
650,0.672,0.634,0.447,0.102,0.834
655,0.715,0.601,0.418,0.077,0.816
660,0.759,0.566,0.392,0.061,0.793
665,0.801,0.527,0.363,0.048,0.771
670,0.835,0.486,0.337,0.036,0.748
675,0.862,0.446,0.309,0.025,0.727
680,0.886,0.409,0.288,0.016,0.703
685,0.909,0.369,0.26,0.008,0.676
690,0.926,0.328,0.241,0,0.652
695,0.941,0.289,0.22,0,0.621
700,0.953,0.251,0.199,0,0.594
705,0.965,0.213,0.181,0,0.566
710,0.974,0.176,0.163,0,0.534
715,0.983,0.14,0.146,0,0.507
720,0.987,0.104,0.128,0,0.478
725,0.991,0.068,0.113,0,0.453
730,0.996,0.038,0.1,0,0.427
735,0.999,0.017,0.089,0,0.4
740,1,0,0.076,0,0.372
745,1,0,0.063,0,0.348
750,1,0,0.051,0,0.322
755,1,0,0.038,0,0.297
760,0.997,0,0.027,0,0.273
765,0.993,0,0.02,0,0.25
770,0.989,0,0.008,0,0.228
775,0.982,0,0,0,0.206
780,0.975,0,0,0,0.186
