Wavelength,B,G,R
380,1,0,0
385,1,0,0
390,1,0,0
395,1,0,0
400,1,0,0
405,1,0,0
410,1,0,0
415,1,0,0
420,1,0,0
425,1,0,0
430,1,0,0
435,1,0,0
440,1,0,0
445,1,0,0
450,1,0,0
455,1,0,0
460,1,0,0
465,0.955047329,0.034551957,0.010400713
470,0.948677833,0.040684806,0.01063736
475,0.9346323,0.054460037,0.010907663
480,0.908062,0.080905287,0.011032712
485,0.842341039,0.146348303,0.011310657
490,0.609165715,0.379679643,0.011154642
495,0.223106961,0.766744269,0.01014877
500,0.11486667,0.876214748,0.008918582
505,0.073822768,0.918491656,0.007685576
510,0.052638729,0.940655563,0.006705708
515,0.040272309,0.953731885,0.005995806
520,0.032819463,0.96164328,0.005537257
525,0.027606196,0.96720002,0.005193784
530,0.023984891,0.970989746,0.005025362
535,0.022011333,0.972852304,0.005136363
540,0.021450205,0.973116594,0.0054332
545,0.020828945,0.973351069,0.005819986
550,0.020248311,0.973351116,0.006400573
555,0.020289391,0.97226108,0.007449529
560,0.018065342,0.973351022,0.008583636
565,0.016455742,0.973148495,0.010395762
570,0.01537326,0.971061306,0.013565434
575,0.014244178,0.966371306,0.019384516
580,0.012973962,0.954941968,0.032084071
585,0.012064974,0.91357899,0.074356038
590,0.011257478,0.364348804,0.624393724
595,0.010182725,0.071507243,0.918310033
600,0.009516535,0.041230434,0.94925303
605,0.009388293,0.032423874,0.958187833
610,0,0,1
615,0,0,1
620,0,0,1
625,0,0,1
630,0,0,1
635,0,0,1
640,0,0,1
645,0,0,1
650,0,0,1
655,0,0,1
660,0,0,1
665,0,0,1
670,0,0,1
675,0,0,1
680,0,0,1
685,0,0,1
690,0,0,1
695,0,0,1
700,0,0,1
705,0,0,1
710,0,0,1
715,0,0,1
720,0,0,1
725,0,0,1
730,0,0,1
735,0,0,1
740,0,0,1
745,0,0,1
750,0,0,1
755,0,0,1
760,0,0,1
765,0,0,1
770,0,0,1
775,0,0,1
780,0,0,1
