Wavelength,Sensitivity
350,0
355,0.037
360,0.108
365,0.17
370,0.231
375,0.285
380,0.337
385,0.387
390,0.432
395,0.474
400,0.513
405,0.55
410,0.58
415,0.61
420,0.638
425,0.66
430,0.676
435,0.693
440,0.696
445,0.7
450,0.696
455,0.684
460,0.666
465,0.647
470,0.622
475,0.588
480,0.543
485,0.494
490,0.461
495,0.435
500,0.412
505,0.401
510,0.399
515,0.4
520,0.402
525,0.405
530,0.409
535,0.413
540,0.417
545,0.42
550,0.419
555,0.417
560,0.405
565,0.387
570,0.367
575,0.348
580,0.336
585,0.328
590,0.329
595,0.33
600,0.338
605,0.346
610,0.356
615,0.367
620,0.378
625,0.387
630,0.393
635,0.389
640,0.378
645,0.359
650,0.33
655,0.293
660,0.239
665,0.175
670,0.098
675,0
680,0
685,0
690,0
695,0
700,0
705,0
710,0
715,0
720,0
725,0
730,0
735,0
740,0
745,0
750,0
755,0
760,0
765,0
770,0
775,0
780,0
